#definition

# set
set V := C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 ; 	# customer set
set F := F11 F12 F13 F14
F11_1 F11_2 F11_3 F11_4 
F12_1 F12_2 F12_3 F12_4 
F13_1 F13_2 F13_3 F13_4 
F14_1 F14_2 F14_3 F14_4  ;#recharging & battery swapping station
set D0 :=N0;
set Dσ :=Nσ;


# param
param CV := 50;    		# ECV fixed cost(Topic Given)
param C := 1000;   		# ECV max load
param Q := 77.75; 		# ECV/BSV battery level
param h := 1;     		# ECV consumption

param CB := 60;    		# BSV fixed cost(Topic Given)
param Qplun := 5;       # BSV max load(battery)
param hplun := 1;     	# BSV consumption
param W :=155.50;		# BSV battery level

param Cde := 1;    		# ECV cost per unit distance
param Cdb := 1;    		# BSV cost per unit distance
param lamda := 3.00;	# battery swap time
param Cb :=8 ;  	    # battery swap cost(BSS/BSV)
param n :=10;	   		# number of customers
param g :=1.17 ;     	# the recharging rate of ECV 



# customer demend
param m :=
F14_1 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
F14_2 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
F14_3 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
F14_4 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
Nσ 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
;

param t : N0 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 F11 F12 F13 F14 F11_1 F11_2 F11_3 F11_4 F12_1 F12_2 F12_3 F12_4 F13_1 F13_2 F13_3 F13_4 F14_1 F14_2 F14_3 F14_4 Nσ :=
N0 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
C1 14.1421 0.0000 22.1359 23.7697 6.3246 42.5441 43.9318 35.0000 39.5601 30.0832 25.6125 14.1421 43.1393 13.8924 29.0689 14.1421 14.1421 14.1421 14.1421 43.1393 43.1393 43.1393 43.1393 13.8924 13.8924 13.8924 13.8924 29.0689 29.0689 29.0689 29.0689 14.1421
C2 35.3553 22.1359 0.0000 45.8803 23.0217 60.8276 64.0312 56.4358 46.0977 52.2015 23.0217 35.3553 63.8201 16.6433 38.9487 35.3553 35.3553 35.3553 35.3553 63.8201 63.8201 63.8201 63.8201 16.6433 16.6433 16.6433 16.6433 38.9487 38.9487 38.9487 38.9487 35.3553
C3 12.0416 23.7697 45.8803 0.0000 25.0000 28.0179 27.6586 13.4164 43.9318 6.3246 44.1475 12.0416 25.2982 35.0143 33.5261 12.0416 12.0416 12.0416 12.0416 25.2982 25.2982 25.2982 25.2982 35.0143 35.0143 35.0143 35.0143 33.5261 33.5261 33.5261 33.5261 12.0416
C4 17.8885 6.3246 23.0217 25.0000 0.0000 47.0106 41.1096 37.4833 45.8803 31.0644 20.5913 17.8885 40.8044 10.0499 35.3412 17.8885 17.8885 17.8885 17.8885 40.8044 40.8044 40.8044 40.8044 10.0499 10.0499 10.0499 10.0499 35.3412 35.3412 35.3412 35.3412 17.8885
C5 29.1548 42.5441 60.8276 28.0179 47.0106 0.0000 50.9902 17.4642 32.0156 26.9258 67.6018 29.1548 47.6760 56.3649 27.5136 29.1548 29.1548 29.1548 29.1548 47.6760 47.6760 47.6760 47.6760 56.3649 56.3649 56.3649 56.3649 27.5136 27.5136 27.5136 27.5136 29.1548
C6 38.0789 43.9318 64.0312 27.6586 41.1096 50.9902 0.0000 33.5410 71.5891 25.0000 51.8652 38.0789 3.6056 48.5489 61.1310 38.0789 38.0789 38.0789 38.0789 3.6056 3.6056 3.6056 3.6056 48.5489 48.5489 48.5489 48.5489 61.1310 61.1310 61.1310 61.1310 38.0789
C7 21.0950 35.0000 56.4358 13.4164 37.4833 17.4642 33.5410 0.0000 42.5441 10.0000 57.2800 21.0950 30.2655 47.5184 34.0588 21.0950 21.0950 21.0950 21.0950 30.2655 30.2655 30.2655 30.2655 47.5184 47.5184 47.5184 47.5184 34.0588 34.0588 34.0588 34.0588 21.0950
C8 35.0000 39.5601 46.0977 43.9318 45.8803 32.0156 71.5891 42.5441 0.0000 47.4342 62.9682 35.0000 69.1231 51.1077 11.0454 35.0000 35.0000 35.0000 35.0000 69.1231 69.1231 69.1231 69.1231 51.1077 51.1077 51.1077 51.1077 11.0454 11.0454 11.0454 11.0454 35.0000
C9 18.0278 30.0832 52.2015 6.3246 31.0644 26.9258 25.0000 10.0000 47.4342 0.0000 49.6488 18.0278 22.0907 41.0122 37.5766 18.0278 18.0278 18.0278 18.0278 22.0907 22.0907 22.0907 22.0907 41.0122 41.0122 41.0122 41.0122 37.5766 37.5766 37.5766 37.5766 18.0278
C10 38.4708 25.6125 23.0217 44.1475 20.5913 67.6018 51.8652 57.2800 62.9682 49.6488 0.0000 38.4708 52.8867 12.0416 53.4135 38.4708 38.4708 38.4708 38.4708 52.8867 52.8867 52.8867 52.8867 12.0416 12.0416 12.0416 12.0416 53.4135 53.4135 53.4135 53.4135 38.4708
F11 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
F12 36.2353 43.1393 63.8201 25.2982 40.8044 47.6760 3.6056 30.2655 69.1231 22.0907 52.8867 36.2353 0.0000 48.7647 58.8218 36.2353 36.2353 36.2353 36.2353 0.0000 0.0000 0.0000 0.0000 48.7647 48.7647 48.7647 48.7647 58.8218 58.8218 58.8218 58.8218 36.2353
F13 27.5136 13.8924 16.6433 35.0143 10.0499 56.3649 48.5489 47.5184 51.1077 41.0122 12.0416 27.5136 48.7647 0.0000 41.4005 27.5136 27.5136 27.5136 27.5136 48.7647 48.7647 48.7647 48.7647 0.0000 0.0000 0.0000 0.0000 41.4005 41.4005 41.4005 41.4005 27.5136
F14 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
F11_1 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
F11_2 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
F11_3 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
F11_4 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
F12_1 36.2353 43.1393 63.8201 25.2982 40.8044 47.6760 3.6056 30.2655 69.1231 22.0907 52.8867 36.2353 0.0000 48.7647 58.8218 36.2353 36.2353 36.2353 36.2353 0.0000 0.0000 0.0000 0.0000 48.7647 48.7647 48.7647 48.7647 58.8218 58.8218 58.8218 58.8218 36.2353
F12_2 36.2353 43.1393 63.8201 25.2982 40.8044 47.6760 3.6056 30.2655 69.1231 22.0907 52.8867 36.2353 0.0000 48.7647 58.8218 36.2353 36.2353 36.2353 36.2353 0.0000 0.0000 0.0000 0.0000 48.7647 48.7647 48.7647 48.7647 58.8218 58.8218 58.8218 58.8218 36.2353
F12_3 36.2353 43.1393 63.8201 25.2982 40.8044 47.6760 3.6056 30.2655 69.1231 22.0907 52.8867 36.2353 0.0000 48.7647 58.8218 36.2353 36.2353 36.2353 36.2353 0.0000 0.0000 0.0000 0.0000 48.7647 48.7647 48.7647 48.7647 58.8218 58.8218 58.8218 58.8218 36.2353
F12_4 36.2353 43.1393 63.8201 25.2982 40.8044 47.6760 3.6056 30.2655 69.1231 22.0907 52.8867 36.2353 0.0000 48.7647 58.8218 36.2353 36.2353 36.2353 36.2353 0.0000 0.0000 0.0000 0.0000 48.7647 48.7647 48.7647 48.7647 58.8218 58.8218 58.8218 58.8218 36.2353
F13_1 27.5136 13.8924 16.6433 35.0143 10.0499 56.3649 48.5489 47.5184 51.1077 41.0122 12.0416 27.5136 48.7647 0.0000 41.4005 27.5136 27.5136 27.5136 27.5136 48.7647 48.7647 48.7647 48.7647 0.0000 0.0000 0.0000 0.0000 41.4005 41.4005 41.4005 41.4005 27.5136
F13_2 27.5136 13.8924 16.6433 35.0143 10.0499 56.3649 48.5489 47.5184 51.1077 41.0122 12.0416 27.5136 48.7647 0.0000 41.4005 27.5136 27.5136 27.5136 27.5136 48.7647 48.7647 48.7647 48.7647 0.0000 0.0000 0.0000 0.0000 41.4005 41.4005 41.4005 41.4005 27.5136
F13_3 27.5136 13.8924 16.6433 35.0143 10.0499 56.3649 48.5489 47.5184 51.1077 41.0122 12.0416 27.5136 48.7647 0.0000 41.4005 27.5136 27.5136 27.5136 27.5136 48.7647 48.7647 48.7647 48.7647 0.0000 0.0000 0.0000 0.0000 41.4005 41.4005 41.4005 41.4005 27.5136
F13_4 27.5136 13.8924 16.6433 35.0143 10.0499 56.3649 48.5489 47.5184 51.1077 41.0122 12.0416 27.5136 48.7647 0.0000 41.4005 27.5136 27.5136 27.5136 27.5136 48.7647 48.7647 48.7647 48.7647 0.0000 0.0000 0.0000 0.0000 41.4005 41.4005 41.4005 41.4005 27.5136
F14_1 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
F14_2 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
F14_3 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
F14_4 24.0208 29.0689 38.9487 33.5261 35.3412 27.5136 61.1310 34.0588 11.0454 37.5766 53.4135 24.0208 58.8218 41.4005 0.0000 24.0208 24.0208 24.0208 24.0208 58.8218 58.8218 58.8218 58.8218 41.4005 41.4005 41.4005 41.4005 0.0000 0.0000 0.0000 0.0000 24.0208
Nσ 0.0000 14.1421 35.3553 12.0416 17.8885 29.1548 38.0789 21.0950 35.0000 18.0278 38.4708 0.0000 36.2353 27.5136 24.0208 0.0000 0.0000 0.0000 0.0000 36.2353 36.2353 36.2353 36.2353 27.5136 27.5136 27.5136 27.5136 24.0208 24.0208 24.0208 24.0208 0.0000
;
